71.1607,-200.885,1801.83;69.6102,-356.138,1761.27;71.8451,-484.092,1752.31;78.7205,-679.193,1747.58;97.3906,-648.058,1758.86;220.925,-624.653,1731.95;290.601,-387.941,1761.86;340.339,-187.165,1734.72;379.702,-111.728,1750.89;390.908,-53.8458,1828.16;342.606,-68.0387,1788.1;51.4391,-648.258,1758.01;-55.1779,-624.299,1712.72;-145.761,-391.125,1752.31;-199.443,-189.273,1720.61;-230.843,-122.986,1778.21;-257.984,-76.6355,1857.21;-189.115,-120.33,1833.77;153.16,-202.003,1802.98;175.242,157.316,1794.91;178.844,494.972,1861.26;213.328,595.487,1730.49;-2.78167,-199.874,1800.8;-26.3941,158.622,1783.27;-15.9056,500.563,1845.71;-53.7263,594.425,1728.26;80.7851,-746.426,1718.02;114.11,-815.637,1595.59;139.666,-835.712,1634.04;165.783,-806.674,1741.17;79.708,-839.084,1616.38;-0.0244118,-814.629,1699.65;
71.1607,-200.885,1801.83;69.6102,-356.138,1761.27;71.8451,-484.092,1752.31;78.7205,-679.193,1747.58;97.3906,-648.058,1758.86;220.925,-624.653,1731.95;290.601,-387.941,1761.86;340.339,-187.165,1734.72;379.702,-111.728,1750.89;390.908,-53.8458,1828.16;342.606,-68.0387,1788.1;51.4391,-648.258,1758.01;-55.1779,-624.299,1712.72;-145.761,-391.125,1752.31;-199.443,-189.273,1720.61;-230.843,-122.986,1778.21;-257.984,-76.6355,1857.21;-189.115,-120.33,1833.77;153.16,-202.003,1802.98;175.242,157.316,1794.91;178.844,494.972,1861.26;213.328,595.487,1730.49;-2.78167,-199.874,1800.8;-26.3941,158.622,1783.27;-15.9056,500.563,1845.71;-53.7263,594.425,1728.26;80.7851,-746.426,1718.02;114.11,-815.637,1595.59;139.666,-835.712,1634.04;165.783,-806.674,1741.17;79.708,-839.084,1616.38;-0.0244118,-814.629,1699.65;
71.5675,-198.241,1799.31;70.2886,-353.218,1757.78;72.8217,-481.114,1748.3;81.0373,-676.154,1744.25;99.5454,-644.852,1755.32;223.407,-622.8,1728.84;293.399,-386.809,1763.14;340.785,-185.369,1736.92;380.197,-110.515,1755.45;392.663,-50.0925,1830.53;341.782,-66.5076,1790.89;53.5982,-645.376,1754.71;-53.9091,-622.908,1710.82;-146.812,-390.848,1751.36;-202.237,-189.214,1721.51;-245.343,-118.798,1764.84;-260.896,-84.6268,1852.68;-210.845,-104.436,1823.48;153.562,-199.155,1800.19;173.734,160.322,1799.53;177.991,498.46,1863.11;213.617,594.496,1729.34;-2.37089,-197.415,1798.51;-25.3837,161.323,1787.13;-16.159,503.239,1849.67;-52.7383,593.304,1728.92;83.418,-743.472,1714.93;110.527,-818.133,1594.2;137.648,-836.817,1632.27;168.88,-803.537,1736.75;76.9264,-840.325,1617.52;1.30511,-811.56,1703.19;
71.5675,-198.241,1799.31;70.2886,-353.218,1757.78;72.8217,-481.114,1748.3;81.0373,-676.154,1744.25;99.5454,-644.852,1755.32;223.407,-622.8,1728.84;293.399,-386.809,1763.14;340.785,-185.369,1736.92;380.197,-110.515,1755.45;392.663,-50.0925,1830.53;341.782,-66.5076,1790.89;53.5982,-645.376,1754.71;-53.9091,-622.908,1710.82;-146.812,-390.848,1751.36;-202.237,-189.214,1721.51;-245.343,-118.798,1764.84;-260.896,-84.6268,1852.68;-210.845,-104.436,1823.48;153.562,-199.155,1800.19;173.734,160.322,1799.53;177.991,498.46,1863.11;213.617,594.496,1729.34;-2.37089,-197.415,1798.51;-25.3837,161.323,1787.13;-16.159,503.239,1849.67;-52.7383,593.304,1728.92;83.418,-743.472,1714.93;110.527,-818.133,1594.2;137.648,-836.817,1632.27;168.88,-803.537,1736.75;76.9264,-840.325,1617.52;1.30511,-811.56,1703.19;
72.2834,-197.78,1795.85;70.873,-352.304,1754.08;73.2933,-479.938,1745.11;82.522,-674.508,1743.18;100.841,-643.063,1753.84;223.781,-619.075,1726.23;292.454,-383.602,1762.5;341.314,-182.501,1740.61;384.17,-113.494,1770.04;397.07,-48.856,1841.14;344.191,-63.5962,1793.66;55.0039,-643.836,1753.33;-52.6591,-624.99,1708.87;-146.468,-393.948,1749.44;-202.449,-192.974,1719.66;-246.995,-131.568,1773.5;-270.699,-98.2985,1859.6;-208.871,-120.274,1830.35;154.086,-198.757,1796.7;173.874,159.865,1801.68;178.595,497.096,1865.7;213.552,593.146,1732.25;-1.48183,-196.896,1795.08;-22.9048,161.276,1793.65;-15.2723,503.462,1850.1;-53.9097,592.913,1730.01;85.1985,-741.971,1714.66;106.798,-818.755,1594.55;136.007,-836.29,1631.45;172.16,-800.524,1733.2;74.7878,-840.735,1619.99;3.56453,-810.983,1708.66;
72.2834,-197.78,1795.85;70.873,-352.304,1754.08;73.2933,-479.938,1745.11;82.522,-674.508,1743.18;100.841,-643.063,1753.84;223.781,-619.075,1726.23;292.454,-383.602,1762.5;341.314,-182.501,1740.61;384.17,-113.494,1770.04;397.07,-48.856,1841.14;344.191,-63.5962,1793.66;55.0039,-643.836,1753.33;-52.6591,-624.99,1708.87;-146.468,-393.948,1749.44;-202.449,-192.974,1719.66;-246.995,-131.568,1773.5;-270.699,-98.2985,1859.6;-208.871,-120.274,1830.35;154.086,-198.757,1796.7;173.874,159.865,1801.68;178.595,497.096,1865.7;213.552,593.146,1732.25;-1.48183,-196.896,1795.08;-22.9048,161.276,1793.65;-15.2723,503.462,1850.1;-53.9097,592.913,1730.01;85.1985,-741.971,1714.66;106.798,-818.755,1594.55;136.007,-836.29,1631.45;172.16,-800.524,1733.2;74.7878,-840.735,1619.99;3.56453,-810.983,1708.66;
75.8977,-193.219,1791.34;74.5818,-347.555,1750.04;77.2987,-474.916,1740.75;86.1827,-669.141,1740.62;104.551,-637.688,1750.91;227.889,-616.142,1724.21;299.033,-382.583,1764.63;352.014,-182.44,1747.92;394.901,-118.718,1787.12;427.643,-56.5358,1853.65;355.537,-67.6326,1808.78;58.7981,-638.387,1750.55;-48.7421,-622.25,1705.32;-144.635,-392.412,1744.86;-209.729,-195.054,1712.38;-266.43,-134.325,1753.84;-275.34,-66.7739,1820.2;-229.369,-79.0644,1772.98;157.552,-193.948,1791.46;172.014,163.443,1815.91;179.339,502.016,1867.98;214.618,591.221,1730.34;2.26658,-192.559,1791.23;-17.6617,164.796,1803.82;-13.3352,507.847,1850.49;-56.4548,592.284,1728.68;88.6572,-736.743,1712.77;111.76,-817.225,1595.74;139.347,-834.414,1633.9;173.322,-796.804,1735.49;78.5148,-837.634,1620.74;5.63238,-803.697,1706.2;
75.8977,-193.219,1791.34;74.5818,-347.555,1750.04;77.2987,-474.916,1740.75;86.1827,-669.141,1740.62;104.551,-637.688,1750.91;227.889,-616.142,1724.21;299.033,-382.583,1764.63;352.014,-182.44,1747.92;394.901,-118.718,1787.12;427.643,-56.5358,1853.65;355.537,-67.6326,1808.78;58.7981,-638.387,1750.55;-48.7421,-622.25,1705.32;-144.635,-392.412,1744.86;-209.729,-195.054,1712.38;-266.43,-134.325,1753.84;-275.34,-66.7739,1820.2;-229.369,-79.0644,1772.98;157.552,-193.948,1791.46;172.014,163.443,1815.91;179.339,502.016,1867.98;214.618,591.221,1730.34;2.26658,-192.559,1791.23;-17.6617,164.796,1803.82;-13.3352,507.847,1850.49;-56.4548,592.284,1728.68;88.6572,-736.743,1712.77;111.76,-817.225,1595.74;139.347,-834.414,1633.9;173.322,-796.804,1735.49;78.5148,-837.634,1620.74;5.63238,-803.697,1706.2;
75.908,-193.217,1791.37;74.5979,-347.553,1750.07;77.3161,-474.914,1740.75;86.1949,-669.141,1740.52;104.558,-637.694,1750.84;227.944,-616.177,1724.33;299.172,-382.717,1765.19;352.519,-182.617,1749.11;395.569,-119.256,1788.72;428.968,-57.5433,1855.35;356.345,-68.1664,1810.62;58.8045,-638.392,1750.44;-48.7079,-622.254,1705.15;-144.827,-392.512,1744.71;-210.054,-195.191,1712.25;-267.252,-134.607,1753.23;-277.424,-67.1428,1819.51;-230.482,-79.2738,1772.73;157.563,-193.946,1791.51;172.032,163.446,1816;179.337,502.008,1868.17;214.742,591.297,1730.61;2.27608,-192.557,1791.25;-17.6565,164.803,1803.83;-13.3446,507.861,1850.47;-56.4438,592.302,1728.65;88.6857,-736.728,1712.63;111.868,-817.143,1595.57;139.431,-834.354,1633.73;173.34,-796.799,1735.37;78.6071,-837.568,1620.53;5.66744,-803.683,1705.97;
75.908,-193.217,1791.37;74.5979,-347.553,1750.07;77.3161,-474.914,1740.75;86.1949,-669.141,1740.52;104.558,-637.694,1750.84;227.944,-616.177,1724.33;299.172,-382.717,1765.19;352.519,-182.617,1749.11;395.569,-119.256,1788.72;428.968,-57.5433,1855.35;356.345,-68.1664,1810.62;58.8045,-638.392,1750.44;-48.7079,-622.254,1705.15;-144.827,-392.512,1744.71;-210.054,-195.191,1712.25;-267.252,-134.607,1753.23;-277.424,-67.1428,1819.51;-230.482,-79.2738,1772.73;157.563,-193.946,1791.51;172.032,163.446,1816;179.337,502.008,1868.17;214.742,591.297,1730.61;2.27608,-192.557,1791.25;-17.6565,164.803,1803.83;-13.3446,507.861,1850.47;-56.4438,592.302,1728.65;88.6857,-736.728,1712.63;111.868,-817.143,1595.57;139.431,-834.354,1633.73;173.34,-796.799,1735.37;78.6071,-837.568,1620.53;5.66744,-803.683,1705.97;
